,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
282,Hunterville,52,NZ,1586970985,71,-39.93,175.57,57.0,23.0
283,Talara,72,PE,1586970985,100,-4.58,-81.27,62.6,9.17
284,São José da Coroa Grande,67,BR,1586970986,68,-8.9,-35.15,84.97,10.25
285,Kahului,40,US,1586970986,88,20.89,-156.47,75.2,8.05
286,Kipini,100,KE,1586970986,82,-2.53,40.53,83.28,14.81
287,Amapá,95,BR,1586970986,54,1.0,-52.0,86.99,3.06
288,Saldanha,100,ZA,1586970986,63,-33.01,17.94,66.2,8.05
289,Churapcha,51,RU,1586970987,93,62.0,132.43,14.85,9.13
290,Kutum,0,SD,1586970987,12,14.2,24.67,71.46,10.76
291,Grants,1,US,1586970987,18,35.15,-107.85,48.2,5.82
292,Yar-Sale,29,RU,1586970987,93,66.83,70.83,15.44,9.91
293,Oktyabr'skiy,98,RU,1586970987,62,54.48,53.47,50.94,13.94
294,Paraíso,75,CR,1586970912,61,9.84,-83.87,82.4,12.75
295,Kukushtan,93,RU,1586970988,75,57.65,56.5,46.4,11.18
296,Micheweni,100,TZ,1586970988,80,-4.97,39.83,83.88,16.08
297,Muroto-misakicho,98,JP,1586970988,59,33.28,134.15,58.44,6.38
298,Avera,40,US,1586970989,52,33.19,-82.53,66.99,5.82
299,Novoomskiy,40,RU,1586970989,80,54.84,73.3,35.6,8.95
300,Long Beach,1,US,1586970801,32,33.77,-118.19,75.99,1.23
301,Sinnamary,33,GF,1586970989,67,5.38,-52.95,81.79,8.52
302,Oodweyne,66,SO,1586970989,38,9.41,45.06,81.45,11.12
303,Charter Township of Clinton,90,US,1586970908,71,42.59,-82.92,35.01,4.21
304,Cap Malheureux,40,MU,1586970989,78,-19.98,57.61,78.8,13.87
305,Biskamzha,85,RU,1586970990,71,53.45,89.53,39.7,7.23
306,Hasaki,75,JP,1586970990,87,35.73,140.83,50.0,2.24
307,Peterhead,17,GB,1586970990,51,57.51,-1.8,62.6,11.41
308,Marawi,57,PH,1586970990,71,8.0,124.29,69.42,2.95
309,Lubin,33,PL,1586970990,37,51.4,16.2,57.99,13.87
310,Boueni,20,YT,1586970990,79,-12.9,45.08,84.2,6.93
311,Peniche,40,PT,1586970707,72,39.36,-9.38,62.6,16.11
312,Nyrob,100,RU,1586970990,93,60.73,56.72,34.3,5.03
313,Meulaboh,56,ID,1586970991,79,4.14,96.13,80.82,3.27
314,Laas,5,IT,1586970991,39,46.62,10.7,66.2,5.82
315,Barcelos,40,PT,1586970991,77,41.54,-8.62,60.8,14.99
316,Ponta Delgada,40,PT,1586970991,76,37.73,-25.67,57.2,18.34
317,Vila Franca do Campo,40,PT,1586970991,76,37.72,-25.43,57.2,18.34
318,Rome,75,US,1586970964,48,43.21,-75.46,43.0,13.87
319,San Andrés,20,CO,1586970992,58,12.58,-81.7,87.8,12.75
320,Marzuq,70,YE,1586970992,48,14.4,46.47,75.72,6.51
321,Fortuna,75,US,1586970992,93,40.6,-124.16,55.99,6.93
322,Nome,90,US,1586970992,97,64.5,-165.41,32.0,10.29
323,Kuusamo,38,FI,1586970992,94,65.97,29.18,32.0,8.05
324,Miandrivazo,19,MG,1586970992,54,-19.52,45.47,83.26,2.15
325,Maryborough,4,AU,1586970992,87,-25.53,152.7,66.99,5.01
326,Tikhvin,88,RU,1586970993,88,59.65,33.53,33.85,3.71
327,Silver City,1,US,1586970768,15,32.77,-108.28,60.01,6.93
328,Jining,90,CN,1586970993,68,35.41,116.58,60.13,13.58
329,Shatsk,95,RU,1586970993,76,54.03,41.71,36.46,11.16
330,Umm Hājar,0,TD,1586970994,9,13.3,19.7,89.56,7.58
331,Dāmghān,43,IR,1586970994,34,36.17,54.35,55.44,6.67
332,Carmo do Rio Claro,94,BR,1586970994,55,-20.97,-46.12,77.16,4.52
333,Sioux Lookout,5,CA,1586970994,35,50.1,-91.92,23.0,14.99
334,Yulin,95,CN,1586970994,84,22.63,110.15,65.23,3.69
335,Roald,75,NO,1586970995,93,62.58,6.13,44.6,16.11
336,Boende,72,CD,1586970995,63,-0.22,20.87,81.14,2.62
337,Ixtapa,5,MX,1586970995,61,20.7,-105.2,77.0,3.36
338,Hamilton,20,US,1586970916,30,39.18,-84.53,53.6,17.22
339,Borova,100,UA,1586970995,45,50.18,30.1,44.6,15.66
340,Semey,16,KZ,1586970995,55,50.41,80.23,45.01,5.28
341,Bima,78,ID,1586970996,84,-8.47,118.72,77.13,2.39
342,Little Current,20,CA,1586970996,80,45.98,-81.92,32.0,13.87
343,Yeppoon,8,AU,1586970996,77,-23.13,150.73,69.8,8.05
344,Gōtsuchō,100,JP,1586970996,70,35.0,132.22,52.97,5.95
345,Alexandria,58,EG,1586970738,26,31.22,29.96,80.6,9.17
346,Beatrice,75,US,1586970924,33,40.27,-96.75,46.99,8.05
347,Erzin,75,TR,1586970997,72,36.96,36.2,64.4,11.41
348,Faya,40,SA,1586970997,82,18.39,42.45,64.4,6.93
349,Sechura,30,PE,1586970997,66,-5.56,-80.82,77.74,7.83
350,Nemuro,86,JP,1586970847,92,43.32,145.57,32.07,15.95
351,São Filipe,79,CV,1586970997,73,14.9,-24.5,73.02,14.27
352,Hobyo,8,SO,1586970998,71,5.35,48.53,84.78,11.54
353,Cairns,75,AU,1586970998,88,-16.92,145.77,75.2,11.41
354,Ayan,64,RU,1586970998,88,56.45,138.17,31.75,9.8
355,Bilma,3,NE,1586971000,10,18.69,12.92,90.61,9.48
356,Tres Arroyos,0,AR,1586971000,36,-38.37,-60.28,66.43,7.58
357,Bălţăteşti,96,RO,1586971000,52,47.12,26.3,48.99,10.29
358,Zaysan,100,KZ,1586971001,67,47.47,84.87,48.15,6.15
359,Orlik,0,RU,1586971001,56,52.52,99.83,25.83,2.62
360,Truro,3,GB,1586970920,50,50.27,-5.05,57.0,29.97
361,Port Hardy,90,CA,1586971001,87,50.7,-127.42,48.2,4.7
362,Turukhansk,51,RU,1586971001,96,65.82,87.98,29.34,6.26
363,Dwārka,12,IN,1586971001,76,22.24,68.97,80.65,14.67
364,Turbat,67,PK,1586971001,36,26.0,63.04,86.77,11.68
365,City of San Pedro,75,PH,1586971001,78,14.35,121.02,82.4,1.12
366,Kaoma,68,ZM,1586971002,58,-14.78,24.8,69.75,3.85
367,Natal,75,BR,1586970844,83,-5.79,-35.21,78.8,13.87
368,Northam,0,GB,1586971002,47,51.03,-4.22,57.99,11.41
369,Pevek,100,RU,1586971002,95,69.7,170.31,6.35,2.21
370,Lavrentiya,98,RU,1586971002,95,65.58,-171.0,22.19,3.47
371,Tessalit,100,ML,1586971003,16,20.2,1.01,89.26,13.31
372,Muros,40,ES,1586970921,87,42.78,-9.06,57.99,9.17
373,Ugoofaaru,92,MV,1586971003,69,5.67,73.0,85.6,6.55
374,Banjar,40,ID,1586971003,94,-8.19,114.97,82.4,4.7
375,Caçador,0,BR,1586971003,26,-26.78,-51.02,64.0,6.6
376,Belmonte,40,BR,1586971003,74,-15.86,-38.88,82.4,10.29
377,Uva,100,RU,1586971004,64,56.99,52.19,49.37,12.06
378,Karratha,34,AU,1586970874,74,-20.74,116.85,82.45,10.87
379,Porirua,45,NZ,1586971004,81,-41.13,174.85,48.2,6.93
380,Antofagasta,20,CL,1586970858,60,-23.65,-70.4,69.8,10.29
381,Coari,40,BR,1586971004,42,-4.08,-63.14,95.5,1.25
382,Sandwick,81,GB,1586971005,87,60.0,-1.25,48.2,21.92
383,Grimshaw,75,CA,1586970771,72,56.18,-117.6,35.01,10.29
384,Comodoro Rivadavia,75,AR,1586971005,48,-45.87,-67.5,66.2,4.7
385,Sangīn,69,AF,1586971005,26,32.07,64.84,67.05,1.97
386,North Bend,90,US,1586971005,81,43.41,-124.22,53.01,3.36
387,Dunedin,68,NZ,1586971005,82,-45.87,170.5,53.01,3.0
388,Wawa,24,NG,1586971005,29,9.9,4.42,96.57,0.51
389,Margate,28,GB,1586971006,57,51.38,1.39,60.01,10.29
390,Ambon City,88,ID,1586971006,78,-3.7,128.18,80.96,6.78
391,Nyurba,100,RU,1586971006,94,63.28,118.33,18.3,5.79
392,Mabopane,2,ZA,1586971006,52,-25.5,28.1,64.99,5.23
393,Yining,0,CN,1586971006,76,29.04,114.56,60.1,2.62
394,Saint-Marc,29,HT,1586971006,60,19.11,-72.69,84.52,4.32
395,Igrim,100,RU,1586971007,98,63.19,64.42,34.79,3.42
396,Chërnaya Kholunitsa,89,RU,1586971007,81,58.85,51.72,43.77,10.31
397,Severnyy,97,RU,1586971007,56,50.68,36.55,41.0,11.18
398,Bhag,28,PK,1586971008,16,29.04,67.82,89.22,12.82
399,Bathsheba,40,BB,1586971008,62,13.22,-59.52,84.2,18.34
400,Hambantota,64,LK,1586971008,76,6.12,81.12,82.56,5.88
401,Zhob,10,PK,1586971008,19,31.34,69.45,64.67,6.29
402,Pingliang,64,CN,1586971009,24,35.54,106.69,56.14,9.46
403,Iberia,1,US,1586971009,48,29.95,-91.75,62.01,16.11
404,Cam Ranh,20,VN,1586970751,83,11.92,109.16,80.6,8.05
405,Vostok,0,RU,1586970873,78,46.49,135.88,26.67,1.72
406,Barroquinha,75,BR,1586971009,74,-3.02,-41.14,86.0,3.36
407,Mogadishu,72,SO,1586971009,75,2.04,45.34,84.42,12.55
408,Villa Carlos Paz,0,AR,1586971009,40,-31.42,-64.5,77.0,6.93
409,Kouango,84,CF,1586971010,57,4.99,19.96,83.28,4.23
410,Flinders,99,AU,1586971010,43,-34.58,150.86,71.6,5.82
411,Broken Hill,46,AU,1586971010,29,-31.95,141.43,77.0,10.29
412,La Concordia,1,NI,1586971010,57,13.2,-86.17,78.8,6.93
413,Bilibino,92,RU,1586971011,84,68.05,166.44,2.86,2.86
414,Dalhousie,28,IN,1586971011,26,32.53,75.98,58.06,9.91
415,Port Hedland,72,AU,1586971011,88,-20.32,118.57,80.6,5.82
416,Pryazha,81,RU,1586971012,80,61.69,33.62,35.6,4.47
417,Gull Lake,40,CA,1586971012,100,50.1,-108.48,24.8,10.29
418,Zanjān,0,IR,1586971012,24,36.67,48.48,50.32,4.18
419,Ormond Beach,40,US,1586971012,70,29.29,-81.06,89.6,11.41
420,Redlands,5,US,1586970884,16,34.06,-117.18,75.2,2.84
421,Aklavik,90,CA,1586971013,86,68.22,-135.01,33.8,3.36
422,Lewisporte,90,CA,1586971013,41,49.25,-55.05,45.0,11.41
423,Mutsu,40,JP,1586971013,70,41.29,141.22,37.0,8.05
424,Tashtyp,97,RU,1586971013,67,52.79,89.9,46.11,7.05
425,Torres,0,BR,1586971014,39,-29.34,-49.73,73.13,12.15
426,Sri Aman,59,MY,1586971014,100,1.24,111.46,78.8,1.95
427,Bealanana,14,MG,1586971014,69,-14.55,48.73,62.62,4.65
428,Beltangadi,4,IN,1586971015,75,13.98,75.3,73.36,4.05
429,Barra Patuca,5,HN,1586971015,60,15.8,-84.28,85.48,15.3
430,Jacareacanga,100,BR,1586971015,95,-6.22,-57.75,73.27,2.21
431,Kassala,42,SD,1586971016,17,15.45,36.4,80.56,9.64
432,Marsh Harbour,80,BS,1586971016,73,26.54,-77.06,79.52,15.28
433,Korla,96,CN,1586971016,22,41.76,86.15,64.38,9.04
434,Alta Floresta,75,BR,1586971017,56,-9.88,-56.09,95.0,2.24
435,Yumen,77,CN,1586971017,23,40.28,97.2,53.53,18.7
436,Cambridge,75,CA,1586970979,47,43.36,-80.31,43.0,19.46
437,Waipawa,44,NZ,1586971018,81,-41.41,175.52,48.2,6.93
438,Marabba,65,SD,1586971019,11,12.35,32.18,84.58,10.2
439,Antsohihy,4,MG,1586971019,67,-14.88,47.99,79.03,8.3
440,Rock Springs,90,US,1586970851,48,41.59,-109.2,39.2,14.99
441,Saint-François,1,FR,1586971020,29,46.42,3.91,75.2,8.05
442,Le Port,0,RE,1586971020,73,-20.94,55.29,77.0,17.22
443,Tocopilla,0,CL,1586971021,29,-22.09,-70.2,80.67,6.67
444,Goundam,99,ML,1586971021,34,16.41,-3.67,83.17,20.13
445,Balkhash,44,KZ,1586970861,47,46.84,74.98,47.05,7.54
446,Shīeli,54,KZ,1586971021,37,44.17,66.75,53.33,9.84
447,Qena,7,EG,1586971022,27,26.16,32.72,86.0,5.82
448,Hvolsvollur,40,IS,1586971022,70,63.75,-20.22,42.8,23.04
449,Chadiza,52,ZM,1586971022,58,-14.07,32.44,69.48,4.99
450,Kumbo,77,CM,1586971022,58,6.2,10.67,66.76,1.99
451,Jinji,94,CN,1586971023,80,23.23,110.83,65.28,1.54
452,Port Blair,59,IN,1586971023,76,11.67,92.75,83.3,4.43
453,Poum,29,NC,1586971023,79,-20.23,164.02,77.95,13.09
454,Paka,24,MY,1586971023,100,4.64,103.44,77.0,6.71
455,Kysyl-Syr,74,RU,1586971023,93,63.9,122.76,10.47,6.89
456,Pangkalanbuun,66,ID,1586971024,87,-2.68,111.62,77.29,2.21
457,Ecoporanga,97,BR,1586971024,64,-18.37,-40.83,82.09,1.79
458,Acapulco de Juárez,20,MX,1586970897,66,16.86,-99.89,84.2,6.93
459,Coyhaique,90,CL,1586971024,81,-45.58,-72.07,57.2,3.36
460,Madiun,55,ID,1586970879,87,-7.63,111.52,76.51,1.86
461,Charters Towers,9,AU,1586971024,84,-20.1,146.27,66.11,6.64
462,Naze,86,JP,1586971024,59,28.37,129.48,64.4,10.29
463,Banda Aceh,67,ID,1586971024,79,5.56,95.32,80.67,1.32
464,Inta,100,RU,1586971025,91,66.03,60.17,32.67,13.73
465,Vallenar,71,CL,1586971025,28,-28.57,-70.76,76.03,8.48
466,Sisimiut,100,GL,1586971025,86,66.94,-53.67,31.6,8.59
467,Uruguaiana,20,BR,1586970958,43,-29.75,-57.09,69.8,14.99
468,Kukuna,90,SL,1586971025,42,9.4,-12.67,93.22,3.89
469,Prince George,1,CA,1586970766,74,53.92,-122.75,46.0,8.05
470,Nelson,15,NZ,1586971026,70,-41.28,173.28,52.0,1.01
471,Nālūt,95,LY,1586971026,28,30.33,10.85,80.78,4.29
472,Grand-Santi,73,GF,1586971027,36,4.25,-54.38,93.06,3.51
473,Kautokeino,100,NO,1586971027,94,69.01,23.04,28.49,12.62
474,Homer,90,US,1586971027,93,59.64,-151.55,44.01,4.7
475,Putina,43,PE,1586971027,23,-15.47,-69.43,43.68,5.66
476,San Anselmo,1,US,1586971028,59,37.97,-122.56,71.01,4.63
477,Bud,90,US,1586971028,60,39.45,-86.18,50.0,20.8
478,São Miguel do Araguaia,98,BR,1586970845,82,-13.28,-50.16,76.44,5.3
479,Aksu,71,CN,1586971028,17,41.12,80.26,67.42,11.43
480,Krasnosel'kup,0,RU,1586971028,95,65.7,82.47,18.79,10.51
481,Khovd,100,MN,1586971028,36,48.01,91.64,46.63,3.15
482,Springfield,1,US,1586970927,37,37.22,-93.3,55.99,13.87
483,Nassau,1,US,1586970908,37,40.75,-73.58,52.0,10.29
484,Urubamba,40,PE,1586971029,34,-13.3,-72.12,64.4,5.82
485,Ballarat,100,AU,1586971029,73,-37.57,143.85,62.01,6.17
486,Monte Alegre,100,BR,1586971030,80,-2.01,-54.07,78.15,2.64
487,Adrar,39,MR,1586971030,13,20.5,-10.07,95.2,12.21
488,Kamenka,48,RU,1586971030,81,51.32,42.77,39.0,3.0
489,Katherine,40,AU,1586971030,65,-14.47,132.27,80.6,5.82
490,Akşehir,60,TR,1586971031,38,38.36,31.42,52.92,7.16
491,Santa Maria,20,BR,1586970876,35,-29.68,-53.81,69.8,13.87
492,Broome,75,US,1586970970,44,42.25,-75.83,44.01,14.99
493,Naila,6,DE,1586971032,35,50.32,11.7,61.0,3.36
494,Knysna,80,ZA,1586971032,87,-34.04,23.05,60.8,4.7
495,Serpa,40,PT,1586971032,72,37.95,-7.6,60.8,13.87
496,Haimen,99,CN,1586971033,88,23.19,116.61,66.2,4.47
497,Calabozo,0,VE,1586971033,20,8.92,-67.43,101.14,6.11
498,Diamantino,79,BR,1586971033,65,-14.41,-56.45,81.46,9.08
499,Mtinko,71,TZ,1586971033,60,-4.55,34.85,63.48,6.89
500,Ust-Maya,94,RU,1586971034,91,60.42,134.53,22.68,7.14
501,Soe,99,ID,1586970859,82,-9.86,124.28,66.43,2.64
502,Bohuslav,98,UA,1586971034,68,49.55,30.87,40.91,10.54
503,Baisha,0,CN,1586971035,66,26.52,110.93,64.13,4.65
504,Vila,75,PT,1586971035,93,42.03,-8.16,57.0,9.17
505,Sirte,95,LY,1586971035,64,31.21,16.59,67.71,14.88
506,Chapais,75,CA,1586971035,52,49.78,-74.85,19.4,10.29
507,Muswellbrook,38,AU,1586971035,69,-32.27,150.9,58.17,4.54
508,Beyneu,19,KZ,1586971035,36,45.32,55.2,56.44,20.02
509,Le Havre,0,FR,1586971036,16,49.49,0.11,68.0,11.41
510,Westport,75,US,1586971036,34,41.14,-73.36,52.0,3.36
511,Vangaindrano,11,MG,1586971036,90,-23.35,47.6,73.17,3.13
512,Bambey,23,SN,1586971037,39,14.7,-16.45,82.4,20.8
513,Portland,90,US,1586970741,76,45.52,-122.68,55.99,1.68
514,Tarabuco,87,BO,1586971037,29,-19.17,-64.92,50.09,5.01
515,Ola,61,RU,1586971037,94,59.58,151.28,17.2,3.22
516,Tha Rua,31,TH,1586971037,73,14.56,100.72,89.01,1.99
517,Camacupa,95,AO,1586971038,57,-12.02,17.48,66.7,1.48
518,Bhātāpāra,51,IN,1586971038,17,21.73,81.93,90.16,1.23
519,Ryazhsk,73,RU,1586971038,49,53.7,40.11,36.0,3.0
520,Taman',20,RU,1586971038,75,45.21,36.72,41.0,4.47
521,Arrondissement de Montauban,45,FR,1586971038,67,44.08,1.5,62.6,18.34
522,Parry Sound,89,CA,1586971038,36,45.35,-80.03,32.0,3.0
523,Imbituba,0,BR,1586971039,64,-28.24,-48.67,73.4,8.05
524,Palmer,20,US,1586971039,24,42.16,-72.33,52.0,12.75
525,Sorong,91,ID,1586971039,89,-0.88,131.25,77.16,3.44
526,Katsuura,100,JP,1586971039,54,35.13,140.3,57.2,6.93
527,Rusnė,75,LT,1586971040,81,55.3,21.38,46.4,20.13
528,Elias Fausto,40,BR,1586971040,50,-23.04,-47.37,80.01,9.17
529,Springdale,1,US,1586970808,46,36.19,-94.13,55.99,13.87
530,Uglovskoye,21,RU,1586971040,58,51.36,80.19,43.14,6.08
531,Huichapan,5,MX,1586971040,36,20.38,-99.65,75.2,2.24
532,Jertih,20,MY,1586971040,83,5.73,102.49,84.2,4.7
533,Qasigiannguit,75,GL,1586971040,46,68.82,-51.19,28.4,8.05
534,Tutóia,75,BR,1586971040,74,-2.76,-42.27,86.0,3.36
535,São João da Barra,44,BR,1586971040,58,-21.64,-41.05,86.0,2.24
536,Suntar,99,RU,1586971041,92,62.14,117.63,24.48,5.95
537,Livingston,15,GB,1586970848,58,55.9,-3.52,64.99,12.75
538,Fryanovo,40,RU,1586971041,74,56.13,38.45,37.4,8.95
539,Arman',13,RU,1586971041,92,59.7,150.17,15.94,2.95
540,Bouna,87,CI,1586971041,63,9.27,-3.0,80.87,6.93
541,Gizo Government Station,99,SB,1586971041,75,-8.1,156.84,81.66,3.6
542,Dhrol,13,IN,1586971041,24,22.57,70.42,91.99,13.82
543,Ishurdi,100,BD,1586971041,65,24.13,89.08,77.63,2.84
544,Flin Flon,20,CA,1586971041,38,54.77,-101.86,23.0,10.29
545,Kawalu,36,ID,1586971042,82,-7.38,108.21,73.38,1.92
546,Mandera,95,KE,1586971042,8,3.94,41.87,87.01,1.01
547,Husavik,75,IS,1586971042,74,66.04,-17.34,37.4,6.93
548,Bargur,1,IN,1586971042,50,12.54,78.35,77.83,2.91
549,Vila Velha,29,BR,1586971042,66,-20.33,-40.29,84.99,10.29
550,Fairbanks,75,US,1586971042,83,64.84,-147.72,39.99,2.89
551,Synya,100,RU,1586971042,95,65.37,58.04,31.46,1.81
552,Bar Harbor,90,US,1586971042,56,44.39,-68.2,48.2,5.82
553,Esim,59,GH,1586971043,75,4.87,-2.24,84.07,7.9
554,Tilichiki,83,RU,1586971043,95,60.47,166.1,13.69,5.93
555,Smidovich,0,RU,1586971043,65,48.6,133.82,39.24,6.44
556,Nokaneng,17,BW,1586971043,27,-19.67,22.27,79.07,1.48
557,San Cristobal,40,VE,1586971043,58,7.77,-72.22,86.0,8.05
558,Sakakah,0,SA,1586971043,16,29.97,40.21,75.2,4.7
559,Idanre,89,NG,1586971044,75,7.11,5.12,80.71,4.92
560,Chissamba,95,AO,1586971044,58,-12.17,17.33,67.51,0.87
561,Puerto Gaitán,1,CO,1586971044,31,4.31,-72.08,95.77,13.31
562,Luga,98,RU,1586971044,91,58.74,29.85,34.16,3.98
563,Solnechnyy,0,RU,1586971045,81,50.72,136.63,30.87,2.3
564,Wanning,17,CN,1586971045,79,18.8,110.4,71.92,4.07
565,Oussouye,27,SN,1586971045,48,12.48,-16.55,87.8,11.41
566,Baruun-Urt,19,MN,1586971045,42,46.68,113.28,35.6,3.62
567,Kibungo,40,RW,1586971045,73,-2.16,30.54,73.4,3.36
